x,y,z,pitch,roll,acceleration,inclination,orientation,time
0.21,0.04,1.13,10.52,1.99,1.1500434774390051,10.784297867562602,2,1486661462114
0.23,0.06,1.12,11.59,3,1.1449454135459909,14.620873988631656,2,1486661462122
0.23,0.06,1.12,11.59,3,1.1449454135459909,14.620873988631656,2,1486661462128
0.22,0.04,1.12,11.11,2.01,1.142103322821539,10.304846468766033,2,1486661462136
0.22,0.04,1.12,11.11,2.01,1.142103322821539,10.304846468766033,2,1486661462139
0.18,0.03,1.06,9.63,1.6,1.0755928597754822,9.462322208025617,2,1486661462151
0.18,0.03,1.06,9.63,1.6,1.0755928597754822,9.462322208025617,2,1486661462154
0.15,0.03,1.04,8.2,1.64,1.0511898020814319,11.309932474020213,2,1486661462163
0.15,0.03,1.04,8.2,1.64,1.0511898020814319,11.309932474020213,2,1486661462169
0.12,0.03,1,6.84,1.71,1.007620960480676,14.036243467926479,2,1486661462177
0.12,0.03,1,6.84,1.71,1.007620960480676,14.036243467926479,2,1486661462180
0.06,0,0.99,3.47,0,0.9918165152889924,0,-2,1486661462195
0.06,0,0.99,3.47,0,0.9918165152889924,0,-2,1486661462198
0.06,0,1,3.43,0,1.0017983829094554,0,-2,1486661462207
0.06,0,1,3.43,0,1.0017983829094554,0,-2,1486661462215
0.07,0.01,1.02,3.93,0.56,1.0224480426897007,8.130102354155978,2,1486661462234
0.07,0.01,1.02,3.93,0.56,1.0224480426897007,8.130102354155978,2,1486661462243
0.09,0.02,1.03,4.99,1.11,1.0341179816636012,12.528807709151511,2,1486661462254
0.09,0.02,1.03,4.99,1.11,1.0341179816636012,12.528807709151511,2,1486661462264
0.11,0.02,1.08,5.81,1.06,1.0857716150277645,10.304846468766033,2,1486661462280
0.11,0.02,1.08,5.81,1.06,1.0857716150277645,10.304846468766033,2,1486661462288
0.17,0.04,1.07,9.02,2.11,1.0841586599755593,13.240519915187205,2,1486661462300
0.17,0.04,1.07,9.02,2.11,1.0841586599755593,13.240519915187205,2,1486661462307
0.18,0.03,1.05,9.72,1.61,1.0657391800998968,9.462322208025617,2,1486661462321
0.18,0.03,1.05,9.72,1.61,1.0657391800998968,9.462322208025617,2,1486661462324
0.18,0.03,1.02,10,1.66,1.0361949623502327,9.462322208025617,2,1486661462343
0.18,0.03,1.02,10,1.66,1.0361949623502327,9.462322208025617,2,1486661462350
0.15,0.02,1.02,8.36,1.11,1.0311643903859364,7.594643368591445,2,1486661462359
0.15,0.02,1.02,8.36,1.11,1.0311643903859364,7.594643368591445,2,1486661462362
0.12,0.01,1.02,6.71,0.56,1.0270832488167645,4.763641690726178,2,1486661462373
0.12,0.01,1.02,6.71,0.56,1.0270832488167645,4.763641690726178,2,1486661462376
0.1,0.02,1.05,5.44,1.09,1.0549407566304376,11.309932474020213,2,1486661462385
0.1,0.02,1.05,5.44,1.09,1.0549407566304376,11.309932474020213,2,1486661462390
0.09,0.02,1.04,4.95,1.1,1.0440785411069418,12.528807709151511,2,1486661462417
0.09,0.02,1.04,4.95,1.1,1.0440785411069418,12.528807709151511,2,1486661462420
0.07,0.01,1.07,3.74,0.53,1.0723339032223127,8.130102354155978,2,1486661462429
0.07,0.01,1.07,3.74,0.53,1.0723339032223127,8.130102354155978,2,1486661462434
0.09,0,1.07,4.81,0,1.0737783756436894,0,-2,1486661462442
0.09,0,1.07,4.81,0,1.0737783756436894,0,-2,1486661462446
0.12,0.02,1.05,6.52,1.08,1.057024124606435,9.462322208025618,2,1486661462457
0.12,0.02,1.05,6.52,1.08,1.057024124606435,9.462322208025618,2,1486661462460
0.12,0.01,1.04,6.58,0.55,1.0469479452198185,4.763641690726178,2,1486661462470
0.12,0.01,1.04,6.58,0.55,1.0469479452198185,4.763641690726178,2,1486661462475
0.14,0.01,1.06,7.52,0.54,1.0692520750505936,4.085616779974877,2,1486661462483
0.14,0.01,1.06,7.52,0.54,1.0692520750505936,4.085616779974877,2,1486661462488
0.17,0.03,1.06,9.11,1.6,1.0739646176667088,10.007979801441337,2,1486661462498
0.17,0.03,1.06,9.11,1.6,1.0739646176667088,10.007979801441337,2,1486661462502
0.16,0.02,1.06,8.58,1.07,1.072194012294417,7.125016348901798,2,1486661462543
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460814
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460830
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460836
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460878
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460893
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460903
0.07,-0.02,1.04,3.85,-1.1,1.042544963059148,-15.945395900922854,-2,1486661460911
0.07,-0.02,1.04,3.85,-1.1,1.042544963059148,-15.945395900922854,-2,1486661460915
0.07,-0.02,1.06,3.78,-1.08,1.0624970588194587,-15.945395900922854,-2,1486661460938
0.07,-0.02,1.06,3.78,-1.08,1.0624970588194587,-15.945395900922854,-2,1486661460943
0.09,-0.03,1.07,4.81,-1.6,1.0741973747873341,-18.43494882292201,-2,1486661460950
0.09,-0.03,1.07,4.81,-1.6,1.0741973747873341,-18.43494882292201,-2,1486661460953
0.11,-0.01,1.06,5.92,-0.54,1.0657391800998968,-5.194428907734806,-2,1486661460962
0.11,-0.01,1.06,5.92,-0.54,1.0657391800998968,-5.194428907734806,-2,1486661460967
0.1,-0.02,1.08,5.29,-1.06,1.0848041297856494,-11.309932474020213,-2,1486661460975
0.1,-0.02,1.08,5.29,-1.06,1.0848041297856494,-11.309932474020213,-2,1486661460981
0.13,0,1.07,6.93,0,1.0778682665335315,0,-2,1486661460995
0.13,0,1.07,6.93,0,1.0778682665335315,0,-2,1486661460999
0.12,0,1.05,6.52,0,1.0568348972285122,0,-2,1486661461013
0.12,0,1.05,6.52,0,1.0568348972285122,0,-2,1486661461016
0.13,0.02,1.01,7.33,1.13,1.0185283501208988,8.74616226255521,2,1486661461027
0.13,0.02,1.01,7.33,1.13,1.0185283501208988,8.74616226255521,2,1486661461032
0.09,0,1.01,5.09,0,1.0140019723846694,0,-2,1486661461041
0.09,0,1.01,5.09,0,1.0140019723846694,0,-2,1486661461045
0.09,0,1,5.14,0,1.004041831797859,0,-2,1486661461062
0.09,0,1,5.14,0,1.004041831797859,0,-2,1486661461067
0.07,-0.01,1,4,-0.57,1.002496882788171,-8.130102354155978,-2,1486661461075
0.07,-0.01,1,4,-0.57,1.002496882788171,-8.130102354155978,-2,1486661461078
0.07,-0.01,1.01,3.96,-0.57,1.0124722218411724,-8.130102354155978,-2,1486661461088
0.07,-0.01,1.01,3.96,-0.57,1.0124722218411724,-8.130102354155978,-2,1486661461091
0.05,-0.03,1.04,2.75,-1.65,1.041633332799983,-30.96375653207352,-2,1486661461106
0.05,-0.03,1.04,2.75,-1.65,1.041633332799983,-30.96375653207352,-2,1486661461109
0.07,-0.02,1.03,3.89,-1.11,1.0325696102442683,-15.945395900922854,-2,1486661461118
0.07,-0.02,1.03,3.89,-1.11,1.0325696102442683,-15.945395900922854,-2,1486661461123
0.09,-0.01,1.04,4.95,-0.55,1.0439348638684312,-6.34019174590991,-2,1486661461131
0.09,-0.01,1.04,4.95,-0.55,1.0439348638684312,-6.34019174590991,-2,1486661461134
0.09,-0.03,1.07,4.81,-1.6,1.0741973747873341,-18.43494882292201,-2,1486661461144
0.09,-0.03,1.07,4.81,-1.6,1.0741973747873341,-18.43494882292201,-2,1486661461147
0.09,-0.03,1.06,4.85,-1.62,1.0642368157510809,-18.43494882292201,-2,1486661461156
0.09,-0.03,1.06,4.85,-1.62,1.0642368157510809,-18.43494882292201,-2,1486661461161
0.11,-0.02,1.09,5.76,-1.05,1.0957189420649804,-10.304846468766033,-2,1486661461169
0.11,-0.02,1.09,5.76,-1.05,1.0957189420649804,-10.304846468766033,-2,1486661461172
0.11,-0.01,1.11,5.66,-0.51,1.1154819586169917,-5.194428907734806,-2,1486661461183
0.11,-0.01,1.11,5.66,-0.51,1.1154819586169917,-5.194428907734806,-2,1486661461186
0.1,-0.02,1.11,5.15,-1.03,1.1146748404803977,-11.309932474020213,-2,1486661461195
0.1,-0.02,1.11,5.15,-1.03,1.1146748404803977,-11.309932474020213,-2,1486661461200
0.11,-0.01,1.07,5.87,-0.53,1.07568582773968,-5.194428907734806,-2,1486661461210
0.11,-0.01,1.07,5.87,-0.53,1.07568582773968,-5.194428907734806,-2,1486661461215
0.1,-0.01,1.08,5.29,-0.53,1.084665847162157,-5.710593137499642,-2,1486661461224
0.1,-0.01,1.08,5.29,-0.53,1.084665847162157,-5.710593137499642,-2,1486661461227
0.09,-0.01,1.07,4.81,-0.53,1.0738249391777042,-6.34019174590991,-2,1486661461251
0.09,-0.01,1.07,4.81,-0.53,1.0738249391777042,-6.34019174590991,-2,1486661461254
0.08,-0.02,1.03,4.44,-1.11,1.0332956982393762,-14.036243467926479,-2,1486661461263
0.08,-0.02,1.03,4.44,-1.11,1.0332956982393762,-14.036243467926479,-2,1486661461268
0.08,-0.03,1.02,4.48,-1.68,1.0235721762533407,-20.556045219583464,-2,1486661461310
0.08,-0.03,1.02,4.48,-1.68,1.0235721762533407,-20.556045219583464,-2,1486661461319
0.06,-0.04,1.04,3.3,-2.2,1.0424970023937719,-33.69006752597979,-2,1486661461332
0.06,-0.04,1.04,3.3,-2.2,1.0424970023937719,-33.69006752597979,-2,1486661461348
0.1,-0.04,1.04,5.49,-2.19,1.0455620498086187,-21.80140948635181,-2,1486661461369
0.1,-0.04,1.04,5.49,-2.19,1.0455620498086187,-21.80140948635181,-2,1486661461380
0.11,-0.04,1.06,5.92,-2.15,1.0664426848171449,-19.98310652189998,-2,1486661461392
0.11,-0.04,1.06,5.92,-2.15,1.0664426848171449,-19.98310652189998,-2,1486661461395
0.12,-0.01,1.1,6.23,-0.52,1.1065712810298305,-4.763641690726178,-2,1486661461404
0.12,-0.01,1.1,6.23,-0.52,1.1065712810298305,-4.763641690726178,-2,1486661461410
0.13,-0.01,1.11,6.68,-0.51,1.1176314240392493,-4.398705354995532,-2,1486661461418
0.13,-0.01,1.11,6.68,-0.51,1.1176314240392493,-4.398705354995532,-2,1486661461420
0.17,0.01,1.11,8.71,0.51,1.1229870880824946,3.366460663429801,2,1486661461431
0.17,0.01,1.11,8.71,0.51,1.1229870880824946,3.366460663429801,2,1486661461434
0.17,0.02,1.11,8.71,1.02,1.1231206524679351,6.7098368077569335,2,1486661461443
0.17,0.02,1.11,8.71,1.02,1.1231206524679351,6.7098368077569335,2,1486661461448
0.19,0.03,1.08,9.97,1.57,1.0969958978957033,8.972626614896393,2,1486661461456
0.19,0.03,1.08,9.97,1.57,1.0969958978957033,8.972626614896393,2,1486661461459
0.18,0,1.05,9.73,0,1.0653168542738822,0,-2,1486661461468
0.18,0,1.05,9.73,0,1.0653168542738822,0,-2,1486661461474
0.19,0.03,1.05,10.25,1.61,1.0674736530706508,8.972626614896393,2,1486661461481
0.19,0.03,1.05,10.25,1.61,1.0674736530706508,8.972626614896393,2,1486661461484
0.17,0.03,1.03,9.37,1.65,1.0443658362853507,10.007979801441337,2,1486661461495
0.17,0.03,1.03,9.37,1.65,1.0443658362853507,10.007979801441337,2,1486661461498
0.15,0.03,1.02,8.36,1.67,1.031406806260265,11.309932474020213,2,1486661461507
0.15,0.03,1.02,8.36,1.67,1.031406806260265,11.309932474020213,2,1486661461513
0.13,0.02,1.03,7.19,1.1,1.0383640979926068,8.74616226255521,2,1486661461521
0.13,0.02,1.03,7.19,1.1,1.0383640979926068,8.74616226255521,2,1486661461524
0.12,0.05,1.03,6.64,2.76,1.0381714694596458,22.61986494804043,2,1486661461535
0.12,0.05,1.03,6.64,2.76,1.0381714694596458,22.61986494804043,2,1486661461540
0.1,0.03,1,5.71,1.71,1.0054352291420865,16.69924423399362,2,1486661461552
0.1,0.03,1,5.71,1.71,1.0054352291420865,16.69924423399362,2,1486661461555
0.07,0.01,0.99,4.04,0.58,0.9925220400575495,8.130102354155978,2,1486661461565
0.07,0.01,0.99,4.04,0.58,0.9925220400575495,8.130102354155978,2,1486661461570
0.06,0.02,0.98,3.5,1.17,0.9820386957752734,18.43494882292201,2,1486661461578
0.06,0.02,0.98,3.5,1.17,0.9820386957752734,18.43494882292201,2,1486661461581
0.05,0.02,0.99,2.89,1.16,0.991463564635635,21.80140948635181,2,1486661461591
0.05,0.02,0.99,2.89,1.16,0.991463564635635,21.80140948635181,2,1486661461595
0.06,0.02,1.01,3.4,1.13,1.0119782606360672,18.43494882292201,2,1486661461604
0.06,0.02,1.01,3.4,1.13,1.0119782606360672,18.43494882292201,2,1486661461609
0.08,0.02,1.02,4.48,1.12,1.0233279044372825,14.036243467926479,2,1486661461618
0.08,0.02,1.02,4.48,1.12,1.0233279044372825,14.036243467926479,2,1486661461628
0.11,0.04,1.05,5.98,2.17,1.0565036677645754,19.98310652189998,2,1486661461639
0.11,0.04,1.05,5.98,2.17,1.0565036677645754,19.98310652189998,2,1486661461646
0.14,0.04,1.07,7.45,2.12,1.0798611021793498,15.945395900922854,2,1486661461659
0.14,0.04,1.07,7.45,2.12,1.0798611021793498,15.945395900922854,2,1486661461666
0.17,0.05,1.06,9.1,2.67,1.074709263010234,16.389540334034784,2,1486661461680
0.17,0.05,1.06,9.1,2.67,1.074709263010234,16.389540334034784,2,1486661461688
0.17,0.04,1.05,9.19,2.15,1.0644247272588137,13.240519915187205,2,1486661461711
0.17,0.04,1.05,9.19,2.15,1.0644247272588137,13.240519915187205,2,1486661461717
0.17,0.05,1.07,9.02,2.64,1.0845736489515132,16.389540334034784,2,1486661461735
0.17,0.05,1.07,9.02,2.64,1.0845736489515132,16.389540334034784,2,1486661461742
0.16,0.05,1.06,8.57,2.67,1.0731728658515367,17.35402463626132,2,1486661461755
0.16,0.05,1.06,8.57,2.67,1.0731728658515367,17.35402463626132,2,1486661461763
0.11,0.02,1.04,6.04,1.1,1.0459923517884824,10.304846468766033,2,1486661461775
0.11,0.02,1.04,6.04,1.1,1.0459923517884824,10.304846468766033,2,1486661461786
0.08,0,1.04,4.4,0,1.043072384832424,0,-2,1486661461798
0.08,0,1.04,4.4,0,1.043072384832424,0,-2,1486661461803
0.09,0,1.06,4.85,0,1.0638138934982944,0,-2,1486661461827
0.09,0,1.06,4.85,0,1.0638138934982944,0,-2,1486661461836
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661461847
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661461855
0.1,-0.02,1.08,5.29,-1.06,1.0848041297856494,-11.309932474020213,-2,1486661461868
0.1,-0.02,1.08,5.29,-1.06,1.0848041297856494,-11.309932474020213,-2,1486661461876
0.13,0,1.1,6.74,0,1.1076551810017412,0,-2,1486661461888
0.13,0,1.1,6.74,0,1.1076551810017412,0,-2,1486661461896
0.14,0.01,1.09,7.32,0.52,1.0989995450408523,4.085616779974877,2,1486661461914
0.14,0.01,1.09,7.32,0.52,1.0989995450408523,4.085616779974877,2,1486661461919
0.11,0,1.09,5.76,0,1.095536398299938,0,-2,1486661461934
0.11,0,1.09,5.76,0,1.095536398299938,0,-2,1486661461946
0.09,-0.02,1.06,4.85,-1.08,1.0640018796975879,-12.528807709151511,-2,1486661461955
0.09,-0.02,1.06,4.85,-1.08,1.0640018796975879,-12.528807709151511,-2,1486661461962
0.06,-0.02,1.04,3.3,-1.1,1.0419213022104885,-18.43494882292201,-2,1486661461972
0.06,-0.02,1.04,3.3,-1.1,1.0419213022104885,-18.43494882292201,-2,1486661461978
0.07,-0.02,1.03,3.89,-1.11,1.0325696102442683,-15.945395900922854,-2,1486661461988
0.07,-0.02,1.03,3.89,-1.11,1.0325696102442683,-15.945395900922854,-2,1486661461995
0.07,-0.02,1.05,3.81,-1.09,1.0525207836427746,-15.945395900922854,-2,1486661462003
0.07,-0.02,1.05,3.81,-1.09,1.0525207836427746,-15.945395900922854,-2,1486661462006
0.09,-0.01,1.07,4.81,-0.53,1.0738249391777042,-6.34019174590991,-2,1486661462048
0.09,-0.01,1.07,4.81,-0.53,1.0738249391777042,-6.34019174590991,-2,1486661462051
0.12,0.02,1.08,6.34,1.05,1.0868302535354821,9.462322208025618,2,1486661462060
0.12,0.02,1.08,6.34,1.05,1.0868302535354821,9.462322208025618,2,1486661462067
0.16,0.03,1.12,8.13,1.52,1.1317685275708986,10.619655276155134,2,1486661462082
0.16,0.03,1.12,8.13,1.52,1.1317685275708986,10.619655276155134,2,1486661462087
0.19,0.04,1.13,9.54,2,1.1465600725648875,11.888658039627975,2,1486661462096
0.19,0.04,1.13,9.54,2,1.1465600725648875,11.888658039627975,2,1486661462099
0.21,0.04,1.13,10.52,1.99,1.1500434774390051,10.784297867562602,2,1486661462111
0.21,0.04,1.13,10.52,1.99,1.1500434774390051,10.784297867562602,2,1486661462114
0.23,0.06,1.12,11.59,3,1.1449454135459909,14.620873988631656,2,1486661462122
0.23,0.06,1.12,11.59,3,1.1449454135459909,14.620873988631656,2,1486661462128
0.22,0.04,1.12,11.11,2.01,1.142103322821539,10.304846468766033,2,1486661462136
0.22,0.04,1.12,11.11,2.01,1.142103322821539,10.304846468766033,2,1486661462139
0.18,0.03,1.06,9.63,1.6,1.0755928597754822,9.462322208025617,2,1486661462151
0.18,0.03,1.06,9.63,1.6,1.0755928597754822,9.462322208025617,2,1486661462154
0.15,0.03,1.04,8.2,1.64,1.0511898020814319,11.309932474020213,2,1486661462163
0.15,0.03,1.04,8.2,1.64,1.0511898020814319,11.309932474020213,2,1486661462169
0.12,0.03,1,6.84,1.71,1.007620960480676,14.036243467926479,2,1486661462177
0.12,0.03,1,6.84,1.71,1.007620960480676,14.036243467926479,2,1486661462180
0.06,0,0.99,3.47,0,0.9918165152889924,0,-2,1486661462195
0.06,0,0.99,3.47,0,0.9918165152889924,0,-2,1486661462198
0.06,0,1,3.43,0,1.0017983829094554,0,-2,1486661462207
0.06,0,1,3.43,0,1.0017983829094554,0,-2,1486661462215
0.07,0.01,1.02,3.93,0.56,1.0224480426897007,8.130102354155978,2,1486661462234
0.07,0.01,1.02,3.93,0.56,1.0224480426897007,8.130102354155978,2,1486661462243
0.09,0.02,1.03,4.99,1.11,1.0341179816636012,12.528807709151511,2,1486661462254
0.09,0.02,1.03,4.99,1.11,1.0341179816636012,12.528807709151511,2,1486661462264
0.11,0.02,1.08,5.81,1.06,1.0857716150277645,10.304846468766033,2,1486661462280
0.11,0.02,1.08,5.81,1.06,1.0857716150277645,10.304846468766033,2,1486661462288
0.17,0.04,1.07,9.02,2.11,1.0841586599755593,13.240519915187205,2,1486661462300
0.17,0.04,1.07,9.02,2.11,1.0841586599755593,13.240519915187205,2,1486661462307
0.18,0.03,1.05,9.72,1.61,1.0657391800998968,9.462322208025617,2,1486661462321
0.18,0.03,1.05,9.72,1.61,1.0657391800998968,9.462322208025617,2,1486661462324
0.18,0.03,1.02,10,1.66,1.0361949623502327,9.462322208025617,2,1486661462343
0.18,0.03,1.02,10,1.66,1.0361949623502327,9.462322208025617,2,1486661462350
0.15,0.02,1.02,8.36,1.11,1.0311643903859364,7.594643368591445,2,1486661462359
0.15,0.02,1.02,8.36,1.11,1.0311643903859364,7.594643368591445,2,1486661462362
0.12,0.01,1.02,6.71,0.56,1.0270832488167645,4.763641690726178,2,1486661462373
0.12,0.01,1.02,6.71,0.56,1.0270832488167645,4.763641690726178,2,1486661462376
0.1,0.02,1.05,5.44,1.09,1.0549407566304376,11.309932474020213,2,1486661462385
0.1,0.02,1.05,5.44,1.09,1.0549407566304376,11.309932474020213,2,1486661462390
0.09,0.02,1.04,4.95,1.1,1.0440785411069418,12.528807709151511,2,1486661462417
0.09,0.02,1.04,4.95,1.1,1.0440785411069418,12.528807709151511,2,1486661462420
0.07,0.01,1.07,3.74,0.53,1.0723339032223127,8.130102354155978,2,1486661462429
0.07,0.01,1.07,3.74,0.53,1.0723339032223127,8.130102354155978,2,1486661462434
0.09,0,1.07,4.81,0,1.0737783756436894,0,-2,1486661462442
0.09,0,1.07,4.81,0,1.0737783756436894,0,-2,1486661462446
0.12,0.02,1.05,6.52,1.08,1.057024124606435,9.462322208025618,2,1486661462457
0.12,0.02,1.05,6.52,1.08,1.057024124606435,9.462322208025618,2,1486661462460
0.12,0.01,1.04,6.58,0.55,1.0469479452198185,4.763641690726178,2,1486661462470
0.12,0.01,1.04,6.58,0.55,1.0469479452198185,4.763641690726178,2,1486661462475
0.14,0.01,1.06,7.52,0.54,1.0692520750505936,4.085616779974877,2,1486661462483
0.14,0.01,1.06,7.52,0.54,1.0692520750505936,4.085616779974877,2,1486661462488
0.17,0.03,1.06,9.11,1.6,1.0739646176667088,10.007979801441337,2,1486661462498
0.17,0.03,1.06,9.11,1.6,1.0739646176667088,10.007979801441337,2,1486661462502
0.16,0.02,1.06,8.58,1.07,1.072194012294417,7.125016348901798,2,1486661462543
0.16,0.02,1.06,8.58,1.07,1.072194012294417,7.125016348901798,2,1486661462548
undefined0.06,-0.03,1.06,3.24,-1.62,1.0621205204683695,-26.56505117707799,-2,1486661460740
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460764
0.05,-0.03,1.06,2.7,-1.62,1.0616025621672172,-30.96375653207352,-2,1486661460772
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460791
0.05,-0.03,1.07,2.67,-1.6,1.0715876072445034,-30.96375653207352,-2,1486661460796
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460807
0.07,-0.01,1.07,3.74,-0.53,1.0723339032223127,-8.130102354155978,-2,1486661460814
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460830
0.08,-0.01,1.06,4.32,-0.54,1.0630616162763098,-7.125016348901798,-2,1486661460836
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460878
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460893
0.09,-0.01,1.06,4.85,-0.54,1.0638608931622593,-6.34019174590991,-2,1486661460903
0.07,-0.02,1.04,3.85,-1.1,1.042544963059148,-15.945395900922854,-2,1486661460911
0.07,-0.02,1.04,3.85,-1.1,1.042544963059148,-15.945395900922854,-2,1486661460915
0.07,-0.02,1.06,3.78,-1.08,1.0624970588194587,-15.945395900922854,-2,1486661460938
0.07,-0.02,1.06,3.78,-1.08,1.0624970588194587,-15.945395900922854,-2,1486661460943
0.09,-0.03,1.07,4.81,-1.6,1.0741973747873341,-18.43494882292201,-2,1486661460950
0.09,-0.03,1.07,4.81,-1.6,1.0741973747873341,-18.43494882292201,-2,1486661460953
0.11,-0.01,1.06,5.92,-0.54,1.0657391800998968,-5.194428907734806,-2,1486661460962
0.11,-0.01,1.06,5.92,-0.54,1.0657391800998968,-5.194428907734806,-2,1486661460967
0.1,-0.02,1.08,5.29,-1.06,1.0848041297856494,-11.309932474020213,-2,1486661460975
0.1,-0.02,1.08,5.29,-1.06,1.0848041297856494,-11.309932474020213,-2,1486661460981
0.13,0,1.07,6.93,0,1.0778682665335315,0,-2,1486661460995
0.13,0,1.07,6.93,0,1.0778682665335315,0,-2,1486661460999
0.12,0,1.05,6.52,0,1.0568348972285122,0,-2,1486661461013
0.12,0,1.05,6.52,0,1.0568348972285122,0,-2,1486661461016
0.13,0.02,1.01,7.33,1.13,1.0185283501208988,8.74616226255521,2,1486661461027
0.13,0.02,1.01,7.33,1.13,1.0185283501208988,8.74616226255521,2,1486661461032
0.09,0,1.01,5.09,0,1.0140019723846694,0,-2,1486661461041
0.09,0,1.01,5.09,0,1.0140019723846694,0,-2,1486661461045
0.09,0,1,5.14,0,1.004041831797859,0,-2,1486661461062
0.09,0,1,5.14,0,1.004041831797859,0,-2,1486661461067
0.07,-0.01,1,4,-0.57,1.002496882788171,-8.130102354155978,-2,1486661461075
0.07,-0.01,1,4,-0.57,1.002496882788171,-8.130102354155978,-2,1486661461078
0.07,-0.01,1.01,3.96,-0.57,1.0124722218411724,-8.130102354155978,-2,1486661461088
0.07,-0.01,1.01,3.96,-0.57,1.0124722218411724,-8.130102354155978,-2,1486661461091
0.05,-0.03,1.04,2.75,-1.65,1.041633332799983,-30.96375653207352,-2,1486661461106
